Agent_1_X,Agent_1_Y,Agent_2_X,Agent_2_Y,Agent_3_X,Agent_3_Y
0.77075415,-0.82848171,0.52936492,-0.33967548,0.05688839,-0.39136393
-0.78514483,-0.72975102,-0.95538139,0.65780606,-0.20992926,0.97792887
-0.51524169,0.54491277,0.13504681,-0.05751664,0.43332125,0.26627938
0.33447535,0.56421207,-0.51391422,-0.17866679,0.78631973,-0.47011031
-0.41855825,0.43144576,0.36283235,0.56230308,0.41801191,-0.06543513
0.84329808,0.92129003,0.90868413,0.73630598,0.1114711,-0.19701355
0.68846282,0.95533824,-0.46686904,0.23866342,0.26142915,-0.63073452
-0.78963329,0.38290947,-0.48970441,0.63948865,0.79903625,-0.16679694
0.32745046,-0.67861305,0.25670415,0.8229983,-0.96904658,0.53516891
0.24759466,0.88411717,0.49839236,0.78962787,0.2587158,0.7928074
-0.51370659,-0.80378325,-0.70604128,-0.36410682,0.7012261,-0.51410284
-0.17954494,-0.87766543,-0.97572744,-0.69063292,-0.51168753,0.03579307
0.62354145,0.05493221,0.26606341,0.95147329,-0.87526059,-0.62054169
-0.66154558,0.87015915,0.68358859,-0.77796052,-0.44692768,0.90114509
-0.59468952,-0.41207487,-0.56853853,0.286133,0.57177653,-0.00994909
-0.42895989,0.32299545,-0.49394521,0.89185392,-0.03895528,-0.84987768
0.92982768,-0.26510591,-0.89296721,-0.74220479,-0.69312013,0.31460109
0.16886521,-0.36380686,0.03068487,-0.93338074,-0.40920577,0.92128542
-0.42200966,0.79062598,-0.0430493,0.80191885,0.54101039,-0.54174108
0.80728339,-0.60197386,0.83712143,-0.57416018,0.63134617,0.24782331
0.93095526,-0.23055724,-0.81283149,-0.2720197,0.98047826,-0.02644247
0.38120605,0.01034981,-0.2890242,0.42828439,0.91484681,-0.1668477
-0.85775586,-0.17014271,0.90197989,-0.64091235,0.52489887,-0.67879136
0.47010187,-0.57373684,0.88954455,0.96136114,-0.01074551,0.86763969
0.93744877,-0.16405665,0.09185803,-0.8804932,-0.50954392,-0.14407611
0.17329981,0.52782638,0.90643885,0.7963907,0.84923757,0.89590337
0.05175176,0.90180243,-0.10476026,-0.00733581,-0.37051997,-0.98852692
-0.63085855,-0.03302164,0.1712617,-0.23582641,0.13484426,-0.0648721
0.32379309,0.40820626,-0.49832107,-0.67206419,-0.54938986,0.87868655
0.8289441,0.54563941,-0.90425069,-0.68292712,0.06195613,-0.08122358
-0.58387911,-0.79797708,0.33980623,-0.17834421,-0.27205696,0.76212893
-0.59012214,0.59186755,0.74484483,-0.28885142,0.07269378,0.18905172
-0.12331265,-0.17216772,-0.5085178,0.68029551,-0.80992962,0.51195838
-0.35681865,-0.81167348,0.87111529,0.68147547,-0.56702455,0.45091168
0.7806865,0.08890647,-0.44995054,-0.6245026,-0.88807652,-0.87605236
0.96287822,0.2785185,-0.10477942,-0.37423786,-0.10033318,-0.37408613
-0.89275819,0.34157587,0.10752098,-0.03329386,-0.30213303,0.81788262
0.04761456,0.71737719,-0.57325546,0.22966872,-0.19228231,-0.6862854
0.17849192,0.87951667,0.44100015,-0.51589502,-0.76232849,0.13873383
0.52513528,0.84802519,0.83620975,-0.0254004,-0.7553104,0.67399399
-0.98522798,0.24259926,-0.87594503,-0.71635912,-0.09383728,0.72778375
-0.88832891,0.46845303,0.61986669,0.48562488,0.52354159,-0.02606024
0.91689409,0.46339767,0.9664482,0.52590603,-0.25519787,-0.70755982
0.32252986,0.96185902,-0.89452097,-0.21605035,-0.53283089,-0.37197783
-0.63063413,-0.8304647,0.50795978,-0.80505476,0.92123662,0.59456322
0.65283896,-0.65724341,0.48976087,-0.20767858,-0.8191191,0.9437407
0.05495364,-0.55513648,0.26724374,0.34994902,0.00630069,-0.38411015
0.58033841,0.40853642,-0.49274442,-0.63314058,-0.03843031,-0.53273031
-0.81801189,-0.7798813,-0.3362327,0.60298895,-0.80751976,0.3827802
0.97415013,0.63017232,0.79730615,-0.73478497,-0.69662082,0.87230002
-0.86742153,-0.5203806,-0.37133128,-0.69367029,-0.26551147,0.87817633
0.61567063,-0.11674592,-0.40752368,-0.5107915,-0.14940871,-0.50679431
0.66472082,-0.1407942,-0.39732179,-0.13513938,-0.81498804,0.26823219
0.95008093,0.57937791,0.15762561,-0.96403914,0.21789324,0.35172478
0.14754427,-0.24515591,-0.19922061,0.80027774,-0.54420537,-0.96102668
0.79424187,-0.68567708,0.05168238,-0.47475646,-0.82622198,0.4473698
0.39953371,-0.78880953,0.19893457,-0.88883242,0.45343957,0.74219579
0.7452044,0.8958558,-0.16113293,-0.97668042,-0.59510386,-0.17625111
0.52599179,-0.69949282,-0.08415363,-0.78055884,-0.6326181,-0.964768
0.96343443,0.640462,-0.9950224,-0.18248164,-0.1324631,-0.43162473
-0.62846578,-0.94068126,0.91595375,-0.49508118,0.75273158,0.99949494
0.80638894,0.5620202,-0.73625569,-0.41311832,-0.27537432,0.41266872
0.42365959,-0.26857042,0.83313727,0.78504794,-0.45244069,0.60940621
-0.84571576,0.17487979,-0.05431379,-0.75463333,-0.74572525,-0.7855842
0.23739796,0.62272514,0.38159646,-0.01070458,-0.50393273,-0.01439065
0.12823817,-0.17109114,0.23115585,-0.47667314,-0.84497953,0.90284084
0.2824959,-0.17955871,-0.6694363,0.92068073,-0.45764528,-0.70839779
-0.1333607,-0.21919566,-0.36707442,0.94928781,0.38998943,0.85480505
0.60434985,0.61195901,0.77689628,-0.41248138,0.46527819,0.93902656
-0.77958631,-0.30955137,0.79691126,0.47090377,-0.13258223,-0.98525331
0.38581648,-0.84750588,-0.29056002,0.24633657,-0.67806065,-0.67689444
-0.21424499,0.158931,-0.15154531,-0.69233418,0.67448207,0.53518688
0.20849032,-0.9319168,0.23824705,-0.50688843,0.10212947,-0.69527875
0.48455611,0.26305407,-0.04942795,0.49281254,0.63080859,0.35515101
-0.46811474,-0.80393945,0.17123561,-0.56331641,0.66898951,-0.04587347
0.05004987,0.10676847,-0.08285051,-0.43831082,-0.18267887,0.62806747
-0.22254166,0.32382214,-0.96666191,0.76231399,0.8378088,-0.97973873
0.21878924,-0.25482319,0.55269673,-0.76522736,0.56612488,0.43339571
-0.04891928,0.389797,0.96252682,-0.11703868,0.02730845,-0.45242332
-0.6014193,-0.47839746,-0.62518326,0.61896706,0.530391,-0.18565134
0.72463818,-0.01751437,0.70890034,-0.79451122,0.91316222,-0.73911222
0.91661179,0.28486511,-0.47052561,0.69107379,-0.85704534,0.22211191
-0.87872381,0.2843174,-0.57061374,-0.54469017,-0.9946563,0.91903072
0.9751325,0.27651357,-0.75205874,-0.04154344,0.7867136,-0.53573196
0.48769151,0.44471724,0.84951483,-0.82440603,-0.11004278,0.08548719
-0.86466261,-0.54920505,0.55879732,0.24191521,-0.71738552,0.33849398
0.36032793,-0.68012234,-0.98942854,-0.45876374,0.51238149,0.5230316
0.60900503,0.2138284,-0.62748962,0.31561356,0.19454658,0.15027354
-0.74127874,-0.81471355,0.65107341,0.38645752,0.76200278,0.78555322
-0.4877814,-0.05045092,0.80894257,-0.68783811,0.52263837,0.76862271
0.60183761,-0.96472673,0.36764096,0.22745002,-0.75938201,0.98038835
-0.53898805,-0.42440205,-0.44423628,0.23086485,-0.43645732,0.9314194
-0.22303685,-0.8165565,0.27328279,0.07664791,0.13481794,-0.81750152
0.10443302,0.09226869,0.9741298,-0.69720251,0.7497784,0.86597269
-0.68282802,-0.66013978,0.88842819,-0.80737731,0.28189188,0.75158031
0.33153552,0.83986507,0.68387855,0.40114076,-0.24164088,0.63758773
0.80541579,0.78353284,-0.62880565,0.1051618,0.9411344,0.63467137
-0.39408599,0.96347839,-0.81080245,0.06641515,-0.19927207,-0.13664338
0.36243654,0.34037715,-0.54334054,0.91341886,0.55950614,-0.39881528
0.85319219,-0.31472109,-0.57534171,-0.15690213,0.84542525,-0.85615767
0.7327152,-0.43130395,0.02380927,-0.4770337,0.1591453,0.03821885
0.70109468,0.39270991,0.8598625,0.91649578,-0.67569391,-0.63184315
0.69004937,-0.57741759,0.14082849,-0.31402718,0.00174434,0.98857865
-0.37832977,0.83954272,0.44216112,0.86288324,0.42666776,-0.52735848
-0.01579843,0.69942563,-0.10940097,-0.27029717,-0.76746924,-0.82901144
-0.86229777,-0.94969202,-0.59547771,0.50720047,0.64845242,-0.678017
0.86189596,-0.44393004,0.34409242,-0.06049656,0.60448856,-0.94804401
-0.28482975,0.94127621,-0.48334689,0.99534133,-0.98369143,-0.88919316
0.92949946,-0.49294757,-0.75441787,0.50788565,-0.20220704,-0.50467425
-0.31699474,0.71286549,0.10255686,0.89995739,0.65444755,0.86138193
-0.37852485,-0.75538238,-0.87626312,0.92800501,0.60721524,0.90131263
-0.03621587,0.08333734,-0.09875072,-0.41415351,0.35057496,0.14940347
-0.85573569,0.65167797,-0.18979628,-0.92031093,0.76949296,-0.80548464
-0.21414644,0.36018271,0.66079108,0.21232184,0.00031683,-0.54772693
-0.31975326,-0.46093918,-0.71776513,0.92346004,0.92897003,-0.15453733
0.15234593,-0.08561186,0.28200161,-0.40291496,0.55681514,0.89536119
-0.24011428,0.76635362,-0.04617857,-0.8317599,-0.09852051,0.50283022
-0.23565638,0.63957013,-0.3870217,0.81890798,-0.77348599,-0.017393
0.73055272,-0.14840754,0.86090004,0.94604379,0.97157,0.21207047
-0.8494831,-0.52745459,-0.20374,-0.95973673,-0.1704017,-0.00846897
0.08563234,-0.6940827,0.04411144,-0.40897055,-0.66216807,0.65462641
-0.31946885,-0.59135248,0.49432742,0.80116242,-0.69662874,0.51169146
0.03013367,0.46520493,0.69828936,-0.19441567,-0.80258259,0.78723919
0.33071742,0.21586509,-0.77152845,0.81831467,0.32601801,0.61154014
0.17849526,0.90921939,0.00914157,0.15817133,0.23489623,-0.22361571
0.59486755,-0.59481038,0.09147096,0.89560135,-0.21288068,-0.91446197
0.67554422,-0.27405331,0.70887663,-0.16074007,0.37657903,0.43015725
-0.12412364,0.91070819,0.04565296,-0.3859142,-0.26008617,0.02046054
-0.32712025,0.65174289,-0.96902401,0.49479867,0.82037784,0.36479136
0.64049164,-0.78067967,-0.89028896,-0.57348117,-0.87411933,-0.3778136
0.88991508,0.90011816,0.44678005,-0.56863453,-0.04275474,-0.58234527
0.35980769,0.65189693,-0.61189817,0.63070225,0.56555408,-0.9141747
-0.2215433,-0.98807464,-0.19177665,0.30909303,-0.64299213,-0.27693181
-0.14382828,0.3030911,-0.07397791,0.12254677,-0.49723363,0.83551753
0.5708932,0.30601782,-0.06091496,-0.812763,-0.1628832,-0.80773344
-0.52848314,0.13713499,-0.79148279,0.74522398,0.89210864,0.54117764
0.95865812,0.1566444,-0.14612006,0.83922286,0.04885634,0.8653173
-0.44227307,-0.27244547,0.8020844,-0.30805844,0.0461087,-0.28384041
-0.97845602,0.67729833,-0.98241418,0.33662233,0.44949886,0.4251949
-0.75828718,0.36316463,0.46293596,-0.17738098,0.3705473,-0.28071138
-0.6469568,-0.25646075,-0.4337642,0.95765539,0.97916708,-0.35924061
0.88051034,-0.80082,-0.87752505,-0.21130902,0.72431184,-0.54578794
0.05791719,0.24484183,-0.20664437,0.04382868,0.58617712,-0.78033678
-0.788273,0.62380618,0.96411439,-0.5439626,-0.22669935,-0.33187754
-0.81360387,-0.65792205,0.77858142,0.46206393,0.78702693,0.14146387
0.20345287,-0.39745552,0.60963058,-0.02364387,0.76346042,0.66451462
0.63990219,-0.39736153,-0.85302432,0.61707728,0.30998387,-0.55437508
0.50891122,-0.25949975,-0.36142342,0.41097964,0.65243861,0.08971918
0.89089941,0.69661419,0.62057332,-0.43744274,0.73573987,-0.8704507
0.10472464,0.37402269,-0.2019668,0.96405024,-0.30431392,0.29280757
0.22616371,0.10540399,-0.16324165,0.93322653,-0.54234466,0.68626038
-0.55478469,-0.73459642,0.22172499,0.09034806,-0.84376333,0.91600312
-0.51795964,-0.62123395,-0.26254569,-0.90705432,0.94959332,0.98307701
-0.99098517,-0.96221468,-0.51610087,-0.91873081,0.90688841,0.33033896
-0.74916985,0.28561608,0.90524812,0.59995408,0.02421329,0.71246119
0.10043182,0.43436569,0.12749395,0.08909589,-0.0187229,-0.18628137
0.19486394,-0.94958387,-0.74454354,0.65786253,-0.22420681,0.38470615
0.16900306,0.75934535,0.61643278,-0.65791117,-0.0999221,-0.60218099
-0.72948867,-0.35717468,0.67308763,0.82260701,-0.55411256,-0.33073585
0.74595706,-0.97154746,0.71587508,-0.7680339,-0.01903232,0.17136964
-0.76970677,0.61949608,-0.87795695,-0.74532391,-0.03043861,-0.74305288
-0.89443575,0.23102767,0.74525136,0.86958456,-0.35946473,0.99180425
0.97343567,-0.03325302,0.76772954,0.28508925,-0.69475692,-0.88900095
0.31284065,0.92186586,-0.21251072,-0.82736262,-0.50833042,0.46954699
0.75101345,0.46544939,0.29681765,-0.39206637,-0.19038345,0.52969293
0.76306872,-0.75870078,-0.89675953,-0.73507147,0.99402887,-0.41642272
0.57960606,0.23426561,0.44570797,0.12746254,0.54734536,-0.90453853
-0.86968456,-0.85327777,0.94296054,-0.85548357,-0.56795551,-0.29802655
-0.04065148,-0.09020632,-0.38776397,0.39829084,-0.27092662,-0.9317365
-0.27363147,0.21581926,-0.95705119,0.81785686,0.79172365,0.75663802
0.62179195,-0.39908308,-0.36680678,0.6551697,-0.96845965,-0.6134226
-0.61957615,0.21310951,-0.22778122,0.21287638,0.60779809,-0.055846
-0.81316045,-0.65925656,-0.78850628,0.80900928,0.16966312,-0.28902851
0.16707786,-0.05464774,-0.69399352,0.92107144,-0.49438168,0.06876629
0.34450371,-0.03021145,-0.4187546,0.09265827,-0.66326774,-0.97724429
-0.82345149,-0.92003359,0.57865509,-0.97289903,-0.13279903,0.16575009
-0.11960832,0.78110181,-0.31099078,-0.25851553,-0.58099622,0.460857
0.16962183,0.47834568,0.71607715,-0.45792656,-0.87158421,0.97357204
0.76413526,0.38100212,0.337786,0.00633402,-0.02630945,0.94792594
-0.33133222,0.22302953,-0.01939825,-0.59371776,0.80168092,0.49378343
0.66573519,-0.68614311,-0.35152596,0.51204886,0.40601326,0.52206926
-0.67803013,-0.04760025,-0.88393847,0.17351439,-0.51190378,-0.87883192
0.83182186,-0.83359917,-0.28946562,-0.4957877,0.63527323,0.69004896
-0.41831472,-0.17077595,-0.41121182,0.85032217,0.52642024,0.5574603
0.93790976,0.90685684,0.47350262,0.7680031,-0.8710778,-0.06762131
-0.33748508,-0.34225769,0.94913216,0.64970431,0.63298636,0.47809771
-0.4059767,-0.23090635,-0.6288648,0.74815931,0.98653053,0.54421991
-0.70316459,-0.27770277,0.23285464,-0.67330803,-0.3901673,0.68063643
0.78092236,-0.94588828,0.4636441,0.35515336,0.01278431,-0.92646999
-0.7163677,0.2684457,-0.84990381,-0.88698398,-0.96689199,0.71176395
0.70210868,-0.67723546,-0.58731359,-0.74835833,-0.8145186,-0.20234196
0.17824205,0.80175699,-0.57596366,-0.53331125,-0.8673455,0.12505995
-0.79223325,0.36485232,-0.26462762,-0.09281163,0.15143686,0.15579421
0.91829296,0.26863147,0.92099466,0.28481414,0.10069302,-0.72087941
-0.96114746,0.25351283,-0.82915588,-0.95949518,0.36028239,0.05548712
-0.22373833,-0.44747008,-0.09514185,-0.32175197,-0.97573233,0.2691723
-0.64821126,-0.649762,-0.87851,0.53776925,-0.03467116,0.80955675
-0.17512504,0.43949051,-0.07328306,-0.07085752,-0.61998692,0.53576778
-0.78953571,-0.99509716,0.9772803,0.80584294,0.60274106,-0.42994313
-0.6892441,-0.90321727,-0.24183881,-0.1108578,-0.10031874,0.83222164
0.02572166,0.00118201,0.82536707,0.10783713,-0.77498444,0.48193627
0.17542741,0.14143372,0.72031832,0.49258127,0.95701149,0.36523625
0.60615509,-0.71005401,-0.56855787,0.06586742,0.45044827,-0.31670921
0.49776611,-0.28870321,-0.40276195,0.57374116,0.71454362,-0.6654546
-0.13828745,0.1769627,-0.96547212,0.01462382,-0.70614745,0.03919799
-0.68201213,0.57092321,-0.28435687,0.1457624,0.98336113,-0.49225385
0.26759388,0.36711151,0.15007472,-0.58482067,0.66319362,-0.48071122
-0.84403386,0.6378829,-0.57067912,0.52249753,-0.30242556,-0.45229992
-0.62208644,0.33769604,0.45317455,0.47775437,-0.97816094,-0.5670115
0.94002713,0.82826742,-0.70725141,0.76004695,0.27270136,-0.33757762
-0.99003955,0.44020872,-0.07564598,-0.08648399,-0.31924611,0.75669456
0.31572727,0.74986898,-0.54246047,-0.39985935,-0.22460564,-0.10146401
0.34415217,0.4056596,0.54809054,0.30482366,0.43410075,0.20316616
0.01749374,0.15590343,-0.48576729,0.33309547,-0.7750247,-0.17868416
0.86338137,-0.69322286,0.91799744,-0.0838137,-0.97249076,-0.44009261
0.77345626,0.53797088,0.77261707,-0.47277527,0.43474786,0.18205
0.77528282,0.37156171,0.31607121,-0.15153819,-0.5171945,0.03430397
0.03966217,-0.83253383,-0.20420565,0.29510254,0.503011,0.66645333
0.39677912,-0.45174108,-0.52832845,0.89337721,-0.97975491,-0.7128469
0.64337878,-0.28089581,0.20429085,-0.05312585,0.87440763,-0.62955588
0.63476478,-0.25954732,-0.63194028,0.47816485,-0.53081389,0.6745621
0.76008305,-0.66479515,-0.51908182,0.12833172,0.42763346,-0.2911305
0.99394187,-0.09886326,0.13098437,-0.66993663,-0.71802817,0.27852847
-0.00257617,0.74777149,-0.84340444,-0.42297749,-0.7183059,-0.62985481
-0.78856569,0.36340151,0.61572243,0.63475217,-0.66233264,0.56849451
-0.71141208,-0.32353935,-0.49174875,-0.54566595,0.72764084,-0.17119444
-0.49564827,-0.98427399,-0.442313,-0.56368904,0.77975188,0.3498324
0.77300819,-0.38490545,0.42471099,0.57369693,-0.93759569,-0.83499541
-0.89558536,-0.01719153,-0.17512074,-0.61653841,0.54104244,-0.64967985
-0.49975686,0.60521475,0.54385841,0.31815591,0.54856165,-0.4551342
-0.33539479,-0.80912848,0.22558146,-0.64612945,0.40389729,-0.77638585
0.3115627,-0.00983084,-0.02905231,0.61049745,-0.11245173,0.17282659
-0.70043764,-0.84575101,0.95084807,-0.4493197,0.04828493,0.71837797
-0.06120252,0.48035857,-0.06523301,0.98045345,-0.71960536,-0.24716432
-0.89914124,-0.06203534,-0.50138244,0.27523148,-0.12186815,0.88319885
0.49217264,-0.37730061,0.67866133,0.16353609,-0.1193148,-0.3678466
-0.89018426,-0.59759953,0.30279119,0.39627688,0.46466559,-0.24392064
-0.48546524,-0.48443213,0.62720816,-0.05001056,-0.79242366,0.57978981
-0.55883022,0.86577165,0.31080706,0.0093677,0.14998898,0.52766461
-0.91283303,-0.73986078,-0.89806821,0.67203511,0.86935186,0.55784595
0.27356053,0.08512559,0.10994735,-0.18164197,0.85382226,-0.61188559
0.01046232,0.14710265,-0.14187865,0.51120439,-0.05680203,-0.83675916
-0.34947313,-0.92408439,0.66539238,0.86464138,0.31406524,0.14344952
0.85165522,-0.40357554,-0.24976987,0.78876665,0.52673622,-0.63641755
-0.68430674,-0.31441506,-0.70600737,0.92557139,-0.49257501,-0.78987748
0.8290571,0.30835062,0.13933785,-0.99001569,-0.89087928,-0.42658745
0.80584644,-0.04910623,0.1310939,-0.18096059,0.86291064,-0.46309798
-0.43476681,0.22127634,-0.92469143,-0.4992592,0.63475674,-0.96595894
-0.4455928,-0.88675431,0.85303636,-0.9407446,0.76937675,-0.48737593
-0.11633828,-0.01846946,0.90391259,-0.6820341,0.93751849,-0.74872237
0.63574157,0.71124469,-0.5323056,0.39023552,-0.10365731,-0.66560957
0.03246637,-0.41612287,0.11043799,-0.33277031,-0.14999255,0.70272012
-0.3821694,0.21163524,-0.61113468,-0.06205087,0.51426175,-0.33899309
-0.46416108,0.65071445,-0.6177837,0.75436612,-0.35712272,0.20133455
0.26745675,0.8659118,-0.69953399,-0.70586734,0.12520397,0.99544886
0.11499193,0.81009495,0.64662724,-0.66758675,-0.26518483,-0.06380626
0.56952349,-0.56943975,0.75375403,-0.69970561,-0.35921967,0.47562276
0.27765483,-0.54493866,-0.05831354,-0.88675018,-0.51931612,0.90957018
0.15652145,-0.55580037,-0.50746302,-0.27672889,0.29610541,0.56227923
0.33079584,0.2626816,-0.29949449,0.69620517,-0.85810925,0.60467306
-0.00033764,0.19488994,-0.83521136,0.23397101,-0.36427828,-0.8654659
0.03131529,0.09953869,-0.63656049,-0.12144521,0.79648567,0.68249745
-0.711096,0.87621414,-0.2388004,-0.9545483,-0.59605792,-0.16543663
-0.11158284,0.98324217,-0.47820487,0.31107068,0.7282561,0.63151595
-0.46574401,-0.01215213,-0.44096608,-0.4992592,0.38681639,0.23164447
0.41046735,-0.22517095,-0.05530185,-0.80155211,-0.79484954,-0.33378418
-0.98624595,0.41626259,-0.5605304,-0.53212936,-0.46605128,-0.59020633
0.43511556,0.41976447,0.5310125,0.83131106,-0.72535263,0.67977735
0.32256366,-0.06843229,-0.95501079,-0.48522279,0.5766851,0.74855734
0.10469625,0.09015589,0.41175578,0.94281522,-0.84733974,0.49751474
0.98768643,-0.35021371,0.7488833,0.45091589,-0.00837739,-0.87979158
0.87125871,-0.60964916,-0.3090551,-0.02407748,-0.39250274,-0.33169419
-0.46270596,-0.05087494,-0.68278188,0.94212292,0.12789284,0.80748596
0.5085704,-0.33240642,0.36194807,0.64349132,-0.63015229,-0.80870324
-0.43187116,0.46571762,0.80069087,0.35738061,0.87010516,-0.541615
0.33401674,0.27871277,0.51007379,0.77426021,-0.37277399,0.11837587
-0.81385467,0.58124129,-0.04646851,-0.39704815,0.57647519,-0.24561584
0.40648642,-0.0789965,0.38205842,-0.24814599,0.86266905,0.11651847
0.54894991,-0.81048644,-0.73932384,-0.33760789,0.8076967,0.15810003
0.27188594,-0.67896145,0.24854357,0.72260785,-0.11712596,0.90868462
-0.77327061,0.38424081,-0.18258288,0.61757251,-0.52406894,0.08862409
0.29402116,-0.0764235,-0.8901849,0.63340983,-0.15265407,-0.07233099
-0.42467725,0.81666258,-0.54776306,-0.00401261,0.39774655,0.6929049
0.41175312,0.1423631,-0.86585355,0.10988023,-0.36830006,-0.65981109
0.81267491,0.59788069,-0.64806997,0.07907277,-0.21070739,0.30753687
0.57276936,0.57130628,0.16967407,0.92572152,-0.87132737,-0.43761527
-0.33254873,0.25953652,0.54417176,-0.63265473,0.27909306,0.56932876
-0.78756826,0.27703241,-0.37571005,0.21280226,0.08015877,-0.70898149
-0.55034035,-0.8754778,0.14875413,-0.98370816,0.08077015,-0.43181225
0.73769523,0.35220647,-0.93176595,-0.895758,-0.28442121,0.54109193
-0.0648938,0.10314939,-0.51382315,-0.47657096,-0.31099993,-0.73040958
-0.72482399,-0.76553383,-0.85667728,0.58954859,0.85915931,0.90573781
-0.22268117,-0.5084863,-0.6772165,0.3213619,0.23215092,0.50262764
-0.6831802,0.37086817,-0.54939554,0.86661558,0.8460743,0.19827785
0.32645503,-0.7228565,-0.36105122,0.3835185,0.50826756,-0.28658339
-0.26034206,0.73255781,-0.89151999,0.67559444,-0.71539951,0.70066035
-0.19512895,0.57192942,-0.13242761,0.67048723,-0.6107713,0.29309845
-0.44322349,-0.0379971,-0.60273073,-0.78631244,0.0004748,-0.41875295
0.16639824,0.72403127,0.01164136,0.22334143,0.36873748,0.56580144
0.573398,0.12504815,-0.15440676,0.7316673,0.26748477,-0.94426437
0.75794782,-0.51294595,0.07642345,0.56472869,-0.96956183,-0.20398227
0.96387428,0.3546023,0.51774984,0.31768311,0.2102346,0.07099665
0.22195353,0.16025453,-0.32485068,0.29082168,-0.23840829,0.68425172
0.99248234,-0.36102297,-0.05029696,-0.191743,-0.15392136,0.12947943
-0.03501455,-0.30151384,-0.02725432,0.19209071,0.91990784,0.31793972
0.55974105,0.83544786,0.00501442,-0.25074874,-0.85456999,-0.57161775
-0.03844261,0.03802022,-0.99702539,0.4147274,0.58163552,0.78709041
0.04802891,0.96594291,-0.16175088,-0.44514913,0.25995474,0.23135991
-0.20691025,0.38827139,-0.36392203,0.2827124,0.05756521,-0.0138733
-0.99521688,-0.70092014,-0.80894499,0.46679155,-0.95720506,-0.39129462
0.65625653,-0.59622616,-0.89869206,0.12679118,-0.2346198,-0.16040695
-0.84583047,0.0311066,0.97290627,-0.7162465,-0.78289585,-0.26707253
0.53813792,-0.48735148,0.33393338,-0.48719624,0.4942735,0.56899033
-0.5637852,-0.94127786,0.79206862,0.20324187,0.70546926,-0.26880726
0.71012995,0.98988147,0.04617543,0.15263026,-0.84798991,-0.05622658
-0.75706615,-0.13732486,0.81275265,-0.40538572,-0.71186532,-0.66997567
-0.04380984,-0.75815509,-0.32697594,0.37206133,-0.58737689,-0.47702639
-0.38802159,-0.46948874,-0.98404057,-0.9788297,-0.02943064,0.88763826
-0.40658803,-0.50432942,0.15160455,-0.16597876,-0.21608283,0.76013048
0.67556941,0.69745881,-0.9702239,-0.52393546,0.33626973,-0.04982838
-0.89236071,-0.61601749,-0.7050982,0.64605986,0.83804013,0.31284531
0.50188817,-0.46395152,-0.12395911,0.84441782,-0.20322673,0.67197633
-0.12735381,-0.72716449,0.62363817,0.78770954,-0.60316517,0.39357177
0.72314988,-0.81146635,-0.93784393,0.49961345,-0.26000921,0.20546325
0.96537425,0.8316658,0.00589241,0.1902561,0.80656192,-0.57867292
0.53760642,-0.81457098,-0.35227132,-0.28815068,-0.7808636,0.90163487
0.68979882,-0.0034799,0.32319351,0.06754335,-0.00656765,-0.28970444
