ConfigIndex,InaccuracyType,Steps,TerminationReason,BugFound
config_5745,accurate,453,Crashed,True
config_5746,accurate,4767,Complete,False
config_5747,accurate,72,Crashed,True
config_5748,accurate,1906,Crashed,True
config_5749,accurate,4,Crashed,True
config_575,accurate,3027,Crashed,True
config_5570,accurate,3832,Complete,False
config_5571,accurate,59,Crashed,True
config_5572,accurate,59,Crashed,True
config_5573,accurate,64,Crashed,True
config_5574,accurate,3,Crashed,True
config_5575,accurate,368,Crashed,True
config_5576,accurate,2458,Complete,False
config_5577,accurate,1691,Crashed,True
config_5578,accurate,5158,Crashed,True
config_5579,accurate,2646,Complete,False
config_558,accurate,3222,Crashed,True
config_5580,accurate,9407,Complete,False
config_5581,accurate,66,Crashed,True
config_5582,accurate,52,Crashed,True
config_5583,accurate,56,Crashed,True
config_5584,accurate,9330,Complete,False
config_5585,accurate,933,Crashed,True
config_5586,accurate,3270,Crashed,True
config_5587,accurate,6376,Complete,False
config_5588,accurate,355,Complete,False
config_5606,accurate,5994,Complete,False
config_5607,accurate,3,Crashed,True
config_5608,accurate,36,Crashed,True
config_5609,accurate,8,Crashed,True
config_561,accurate,2,Crashed,True
config_5610,accurate,30,Crashed,True
config_5611,accurate,6515,Complete,False
config_5612,accurate,472,Crashed,True
config_5613,accurate,2176,Crashed,True
config_5614,accurate,75,Crashed,True
config_5615,accurate,2350,Crashed,True
config_5616,accurate,2630,Crashed,True
config_5617,accurate,8496,Complete,False
config_5618,accurate,450,Crashed,True
config_5619,accurate,1,Crashed,True
config_562,accurate,5290,Crashed,True
config_5620,accurate,3616,Complete,False
config_5621,accurate,7825,Complete,False
config_5622,accurate,1331,Crashed,True
config_5623,accurate,694,Crashed,True
config_5877,accurate,407,Crashed,True
config_5878,accurate,6087,Complete,False
config_5879,accurate,1,Crashed,True
config_588,accurate,445,Crashed,True
config_5880,accurate,1711,Crashed,True
config_5881,accurate,2155,Complete,False
config_5882,accurate,2812,Crashed,True
config_5883,accurate,216,Crashed,True
config_5884,accurate,50,Crashed,True
config_5885,accurate,1,Crashed,True
config_5886,accurate,1000,Crashed,True
config_5887,accurate,4,Crashed,True
config_5888,accurate,2,Crashed,True
config_5889,accurate,1,Crashed,True
config_589,accurate,1414,Crashed,True
config_5890,accurate,1,Crashed,True
config_5891,accurate,67,Crashed,True
config_5892,accurate,104,Crashed,True
config_5893,accurate,256,Crashed,True
config_5894,accurate,2337,Complete,False
config_5787,accurate,435,Crashed,True
config_5788,accurate,57,Crashed,True
config_5789,accurate,4128,Crashed,True
config_579,accurate,64,Crashed,True
config_5790,accurate,596,Complete,False
config_5791,accurate,4566,Complete,False
config_5792,accurate,6,Crashed,True
config_5793,accurate,61,Crashed,True
config_5794,accurate,2051,Crashed,True
config_5795,accurate,1721,Crashed,True
config_5796,accurate,68,Crashed,True
config_5797,accurate,6117,Crashed,True
config_5798,accurate,141,Complete,False
config_5799,accurate,2175,Crashed,True
config_58,accurate,2350,Crashed,True
config_580,accurate,3894,Crashed,True
config_5800,accurate,2389,Crashed,True
config_5801,accurate,3163,Complete,False
config_5802,accurate,75,Crashed,True
config_5803,accurate,1835,Crashed,True
config_5822,accurate,2783,Crashed,True
config_5823,accurate,2919,Crashed,True
config_5824,accurate,1027,Crashed,True
config_5825,accurate,12,Crashed,True
config_5826,accurate,228,Crashed,True
config_5827,accurate,65,Crashed,True
config_5828,accurate,4029,Crashed,True
config_5829,accurate,1179,Complete,False
config_583,accurate,63,Crashed,True
config_5830,accurate,1687,Crashed,True
config_5831,accurate,609,Complete,False
config_5832,accurate,76,Crashed,True
config_5833,accurate,6,Crashed,True
config_5834,accurate,24,Crashed,True
config_5835,accurate,3548,Complete,False
config_5836,accurate,2722,Crashed,True
config_5837,accurate,6948,Complete,False
config_5838,accurate,14,Crashed,True
config_5839,accurate,1464,Crashed,True
config_584,accurate,22,Crashed,True
config_5895,accurate,1096,Crashed,True
config_5896,accurate,65,Crashed,True
config_5897,accurate,3727,Complete,False
config_5898,accurate,1264,Crashed,True
config_5899,accurate,2485,Complete,False
config_59,accurate,3,Crashed,True
config_590,accurate,4062,Crashed,True
config_5900,accurate,1772,Crashed,True
config_5901,accurate,73,Crashed,True
config_5902,accurate,2069,Complete,False
config_5903,accurate,42,Crashed,True
config_5904,accurate,2,Crashed,True
config_5905,accurate,2125,Complete,False
config_5906,accurate,2858,Complete,False
config_5907,accurate,234,Crashed,True
config_5908,accurate,3343,Complete,False
config_5909,accurate,56,Crashed,True
config_591,accurate,154,Crashed,True
config_5910,accurate,60,Crashed,True
config_5911,accurate,28,Crashed,True
config_5660,accurate,840,Crashed,True
config_5661,accurate,1,Crashed,True
config_5662,accurate,6159,Crashed,True
config_5663,accurate,441,Crashed,True
config_5664,accurate,998,Crashed,True
config_5665,accurate,8599,Crashed,True
config_5666,accurate,2328,Crashed,True
config_5667,accurate,1,Crashed,True
config_5668,accurate,3,Crashed,True
config_5669,accurate,256,Crashed,True
config_567,accurate,3833,Crashed,True
config_5670,accurate,53,Crashed,True
config_5671,accurate,2831,Complete,False
config_5672,accurate,3922,Crashed,True
config_5673,accurate,3545,Complete,False
config_5674,accurate,960,Crashed,True
config_5675,accurate,4510,Crashed,True
config_5676,accurate,4,Crashed,True
config_5677,accurate,1466,Complete,False
config_5678,accurate,3726,Complete,False
config_5930,accurate,6192,Crashed,True
config_5931,accurate,36,Crashed,True
config_5932,accurate,3,Crashed,True
config_5933,accurate,24,Crashed,True
config_5934,accurate,6394,Crashed,True
config_5935,accurate,6,Crashed,True
config_5936,accurate,56,Crashed,True
config_5937,accurate,12,Crashed,True
config_5938,accurate,1058,Complete,False
config_5939,accurate,211,Crashed,True
config_594,accurate,4,Crashed,True
config_5940,accurate,64,Crashed,True
config_5941,accurate,5181,Crashed,True
config_5942,accurate,5591,Crashed,True
config_5943,accurate,457,Crashed,True
config_5944,accurate,1,Crashed,True
config_5945,accurate,2,Crashed,True
config_5946,accurate,52,Crashed,True
config_5947,accurate,6,Crashed,True
config_5948,accurate,440,Crashed,True
config_5912,accurate,22,Crashed,True
config_5913,accurate,9065,Complete,False
config_5914,accurate,440,Crashed,True
config_5915,accurate,8815,Complete,False
config_5916,accurate,6,Crashed,True
config_5917,accurate,95,Crashed,True
config_5918,accurate,10,Crashed,True
config_5919,accurate,482,Crashed,True
config_592,accurate,460,Crashed,True
config_5920,accurate,1710,Complete,False
config_5921,accurate,6060,Complete,False
config_5922,accurate,60,Crashed,True
config_5923,accurate,909,Crashed,True
config_5924,accurate,63,Crashed,True
config_5925,accurate,1046,Crashed,True
config_5926,accurate,65,Crashed,True
config_5927,accurate,1678,Crashed,True
config_5928,accurate,88,Crashed,True
config_5929,accurate,18,Crashed,True
config_593,accurate,678,Complete,False
config_5804,accurate,2581,Crashed,True
config_5805,accurate,1974,Crashed,True
config_5806,accurate,1113,Crashed,True
config_5807,accurate,6030,Crashed,True
config_5808,accurate,2157,Crashed,True
config_5809,accurate,882,Crashed,True
config_581,accurate,2359,Crashed,True
config_5810,accurate,2543,Crashed,True
config_5811,accurate,6657,Crashed,True
config_5812,accurate,8033,Crashed,True
config_5813,accurate,54,Crashed,True
config_5814,accurate,1,Crashed,True
config_5815,accurate,20,Crashed,True
config_5816,accurate,1758,Crashed,True
config_5817,accurate,3639,Complete,False
config_5818,accurate,365,Crashed,True
config_5819,accurate,2243,Crashed,True
config_582,accurate,371,Crashed,True
config_5820,accurate,740,Crashed,True
config_5821,accurate,1851,Complete,False
config_6092,accurate,2353,Crashed,True
config_6093,accurate,63,Crashed,True
config_6094,accurate,70,Crashed,True
config_6095,accurate,445,Crashed,True
config_6096,accurate,1,Crashed,True
config_6097,accurate,250,Crashed,True
config_6098,accurate,5,Crashed,True
config_6099,accurate,782,Complete,False
config_61,accurate,975,Crashed,True
config_610,accurate,28,Crashed,True
config_6100,accurate,61,Crashed,True
config_6101,accurate,70,Crashed,True
config_6102,accurate,2036,Complete,False
config_6103,accurate,7956,Crashed,True
config_6104,accurate,46,Crashed,True
config_6105,accurate,864,Crashed,True
config_6106,accurate,3,Crashed,True
config_6107,accurate,2908,Crashed,True
config_6108,accurate,54,Crashed,True
config_6109,accurate,48,Crashed,True
config_5949,accurate,71,Crashed,True
config_595,accurate,2776,Crashed,True
config_5950,accurate,5,Crashed,True
config_5951,accurate,51,Crashed,True
config_5952,accurate,78,Crashed,True
config_5953,accurate,59,Crashed,True
config_5954,accurate,587,Complete,False
config_5955,accurate,9186,Complete,False
config_5956,accurate,480,Crashed,True
config_5957,accurate,201,Crashed,True
config_5958,accurate,2,Crashed,True
config_5959,accurate,2179,Crashed,True
config_596,accurate,3836,Complete,False
config_5960,accurate,4269,Crashed,True
config_5961,accurate,258,Crashed,True
config_5962,accurate,32,Crashed,True
config_5963,accurate,912,Crashed,True
config_5964,accurate,63,Crashed,True
config_5965,accurate,253,Crashed,True
config_5966,accurate,9328,Crashed,True
config_5985,accurate,1,Crashed,True
config_5986,accurate,6187,Crashed,True
config_5987,accurate,2283,Crashed,True
config_5988,accurate,1612,Crashed,True
config_5989,accurate,34,Crashed,True
config_599,accurate,251,Crashed,True
config_5990,accurate,68,Crashed,True
config_5991,accurate,441,Crashed,True
config_5992,accurate,7782,Complete,False
config_5993,accurate,2238,Crashed,True
config_5994,accurate,90,Crashed,True
config_5995,accurate,46,Crashed,True
config_5996,accurate,5,Crashed,True
config_5997,accurate,6171,Crashed,True
config_5998,accurate,1,Crashed,True
config_5999,accurate,1266,Complete,False
config_6,accurate,62,Crashed,True
config_60,accurate,94,Crashed,True
config_600,accurate,436,Crashed,True
config_6000,accurate,1116,Crashed,True
config_5967,accurate,7366,Complete,False
config_5968,accurate,1373,Complete,False
config_5969,accurate,3037,Crashed,True
config_597,accurate,1822,Complete,False
config_5970,accurate,61,Crashed,True
config_5971,accurate,2708,Crashed,True
config_5972,accurate,1478,Crashed,True
config_5973,accurate,1,Crashed,True
config_5974,accurate,5097,Crashed,True
config_5975,accurate,962,Crashed,True
config_5976,accurate,243,Crashed,True
config_5977,accurate,10,Crashed,True
config_5978,accurate,2274,Crashed,True
config_5979,accurate,1121,Crashed,True
config_598,accurate,710,Complete,False
config_5980,accurate,3191,Complete,False
config_5981,accurate,471,Crashed,True
config_5982,accurate,447,Crashed,True
config_5983,accurate,76,Crashed,True
config_5984,accurate,30,Crashed,True
config_6001,accurate,62,Crashed,True
config_6002,accurate,247,Crashed,True
config_6003,accurate,75,Crashed,True
config_6004,accurate,9469,Crashed,True
config_6005,accurate,1592,Complete,False
config_6006,accurate,1340,Crashed,True
config_6007,accurate,4624,Crashed,True
config_6008,accurate,567,Crashed,True
config_6009,accurate,8,Crashed,True
config_601,accurate,51,Crashed,True
config_6010,accurate,2355,Crashed,True
config_6011,accurate,1236,Crashed,True
config_6012,accurate,4532,Complete,False
config_6013,accurate,458,Crashed,True
config_6014,accurate,513,Complete,False
config_6015,accurate,1,Crashed,True
config_6016,accurate,6988,Crashed,True
config_6017,accurate,68,Crashed,True
config_6018,accurate,871,Crashed,True
config_6019,accurate,789,Complete,False
config_6146,accurate,2511,Complete,False
config_6147,accurate,231,Crashed,True
config_6148,accurate,1,Crashed,True
config_6149,accurate,451,Crashed,True
config_615,accurate,1377,Crashed,True
config_6150,accurate,1634,Crashed,True
config_6151,accurate,2601,Crashed,True
config_6152,accurate,4,Crashed,True
config_6153,accurate,54,Crashed,True
config_6154,accurate,1,Crashed,True
config_6155,accurate,102,Crashed,True
config_6156,accurate,5754,Crashed,True
config_6157,accurate,1341,Crashed,True
config_6158,accurate,34,Crashed,True
config_6159,accurate,6,Crashed,True
config_616,accurate,448,Crashed,True
config_6160,accurate,447,Crashed,True
config_6161,accurate,478,Crashed,True
config_6162,accurate,1742,Crashed,True
config_6163,accurate,57,Crashed,True
config_6074,accurate,214,Crashed,True
config_6075,accurate,375,Crashed,True
config_6076,accurate,962,Crashed,True
config_6077,accurate,5225,Complete,False
config_6078,accurate,2,Crashed,True
config_6079,accurate,1,Crashed,True
config_608,accurate,3290,Complete,False
config_6080,accurate,16,Crashed,True
config_6081,accurate,215,Crashed,True
config_6082,accurate,8691,Complete,False
config_6083,accurate,2998,Complete,False
config_6084,accurate,553,Complete,False
config_6085,accurate,428,Crashed,True
config_6086,accurate,24,Crashed,True
config_6087,accurate,58,Crashed,True
config_6088,accurate,456,Crashed,True
config_6089,accurate,92,Crashed,True
config_609,accurate,465,Crashed,True
config_6090,accurate,67,Crashed,True
config_6091,accurate,6513,Complete,False
config_6182,accurate,286,Crashed,True
config_6183,accurate,1723,Crashed,True
config_6184,accurate,467,Crashed,True
config_6185,accurate,6,Crashed,True
config_6186,accurate,242,Crashed,True
config_6187,accurate,67,Crashed,True
config_6188,accurate,485,Crashed,True
config_6189,accurate,28,Crashed,True
config_619,accurate,4337,Complete,False
config_6190,accurate,1221,Crashed,True
config_6191,accurate,12,Crashed,True
config_6192,accurate,303,Crashed,True
config_6193,accurate,40,Crashed,True
config_6194,accurate,60,Crashed,True
config_6195,accurate,146,Complete,False
config_6196,accurate,36,Crashed,True
config_6197,accurate,1,Crashed,True
config_6198,accurate,426,Crashed,True
config_6199,accurate,698,Crashed,True
config_62,accurate,4192,Complete,False
config_6038,accurate,56,Crashed,True
config_6039,accurate,254,Crashed,True
config_604,accurate,1120,Crashed,True
config_6040,accurate,18,Crashed,True
config_6041,accurate,2927,Crashed,True
config_6042,accurate,409,Complete,False
config_6043,accurate,1,Crashed,True
config_6044,accurate,9151,Complete,False
config_6045,accurate,454,Crashed,True
config_6046,accurate,4733,Complete,False
config_6047,accurate,1467,Crashed,True
config_6048,accurate,242,Crashed,True
config_6049,accurate,53,Crashed,True
config_605,accurate,44,Crashed,True
config_6050,accurate,88,Crashed,True
config_6051,accurate,14,Crashed,True
config_6052,accurate,2090,Complete,False
config_6053,accurate,1380,Crashed,True
config_6054,accurate,239,Crashed,True
config_6055,accurate,8380,Complete,False
config_602,accurate,67,Crashed,True
config_6020,accurate,3124,Crashed,True
config_6021,accurate,639,Complete,False
config_6022,accurate,1,Crashed,True
config_6023,accurate,3049,Crashed,True
config_6024,accurate,3178,Crashed,True
config_6025,accurate,7245,Complete,False
config_6026,accurate,439,Crashed,True
config_6027,accurate,443,Crashed,True
config_6028,accurate,50,Crashed,True
config_6029,accurate,5632,Crashed,True
config_603,accurate,46,Crashed,True
config_6030,accurate,4396,Crashed,True
config_6031,accurate,74,Crashed,True
config_6032,accurate,284,Crashed,True
config_6033,accurate,238,Crashed,True
config_6034,accurate,1559,Crashed,True
config_6035,accurate,4312,Complete,False
config_6036,accurate,69,Crashed,True
config_6037,accurate,304,Complete,False
config_6236,accurate,252,Crashed,True
config_6237,accurate,2,Crashed,True
config_6238,accurate,3,Crashed,True
config_6239,accurate,1,Crashed,True
config_624,accurate,46,Crashed,True
config_6240,accurate,50,Crashed,True
config_6241,accurate,20,Crashed,True
config_6242,accurate,399,Complete,False
config_6243,accurate,451,Complete,False
config_6244,accurate,301,Crashed,True
config_6245,accurate,6041,Complete,False
config_6246,accurate,1726,Crashed,True
config_6247,accurate,427,Complete,False
config_6248,accurate,75,Crashed,True
config_6249,accurate,42,Crashed,True
config_625,accurate,40,Crashed,True
config_6250,accurate,1604,Complete,False
config_6251,accurate,1571,Complete,False
config_6252,accurate,63,Crashed,True
config_6253,accurate,51,Crashed,True
config_6056,accurate,68,Crashed,True
config_6057,accurate,55,Crashed,True
config_6058,accurate,2725,Crashed,True
config_6059,accurate,74,Crashed,True
config_606,accurate,60,Crashed,True
config_6060,accurate,50,Crashed,True
config_6061,accurate,2506,Complete,False
config_6062,accurate,26,Crashed,True
config_6063,accurate,6844,Crashed,True
config_6064,accurate,66,Crashed,True
config_6065,accurate,7760,Complete,False
config_6066,accurate,7118,Crashed,True
config_6067,accurate,52,Crashed,True
config_6068,accurate,261,Crashed,True
config_6069,accurate,44,Crashed,True
config_607,accurate,22,Crashed,True
config_6070,accurate,4488,Complete,False
config_6071,accurate,68,Crashed,True
config_6072,accurate,3744,Crashed,True
config_6073,accurate,1,Crashed,True
config_6128,accurate,5794,Complete,False
config_6129,accurate,256,Crashed,True
config_613,accurate,73,Crashed,True
config_6130,accurate,1,Crashed,True
config_6131,accurate,12,Crashed,True
config_6132,accurate,1,Crashed,True
config_6133,accurate,49,Crashed,True
config_6134,accurate,60,Crashed,True
config_6135,accurate,4057,Crashed,True
config_6136,accurate,835,Crashed,True
config_6137,accurate,14,Crashed,True
config_6138,accurate,137,Crashed,True
config_6139,accurate,992,Crashed,True
config_614,accurate,1488,Crashed,True
config_6140,accurate,425,Crashed,True
config_6141,accurate,252,Crashed,True
config_6142,accurate,9438,Complete,False
config_6143,accurate,1,Crashed,True
config_6144,accurate,257,Complete,False
config_6145,accurate,9904,Complete,False
config_6164,accurate,314,Crashed,True
config_6165,accurate,53,Crashed,True
config_6166,accurate,1451,Complete,False
config_6167,accurate,176,Crashed,True
config_6168,accurate,3150,Crashed,True
config_6169,accurate,730,Crashed,True
config_617,accurate,730,Complete,False
config_6170,accurate,861,Crashed,True
config_6171,accurate,1766,Complete,False
config_6172,accurate,53,Crashed,True
config_6173,accurate,2738,Crashed,True
config_6174,accurate,693,Complete,False
config_6175,accurate,4233,Complete,False
config_6176,accurate,60,Crashed,True
config_6177,accurate,2197,Crashed,True
config_6178,accurate,353,Complete,False
config_6179,accurate,9049,Complete,False
config_618,accurate,878,Crashed,True
config_6180,accurate,440,Crashed,True
config_6181,accurate,272,Complete,False
config_611,accurate,1,Crashed,True
config_6110,accurate,6007,Complete,False
config_6111,accurate,75,Crashed,True
config_6112,accurate,5407,Crashed,True
config_6113,accurate,59,Crashed,True
config_6114,accurate,5607,Complete,False
config_6115,accurate,1748,Crashed,True
config_6116,accurate,7,Crashed,True
config_6117,accurate,429,Crashed,True
config_6118,accurate,14,Crashed,True
config_6119,accurate,58,Crashed,True
config_612,accurate,1818,Crashed,True
config_6120,accurate,2724,Complete,False
config_6121,accurate,1003,Crashed,True
config_6122,accurate,6444,Complete,False
config_6123,accurate,48,Crashed,True
config_6124,accurate,1082,Crashed,True
config_6125,accurate,60,Crashed,True
config_6126,accurate,9492,Complete,False
config_6127,accurate,141,Crashed,True
config_6380,accurate,1,Crashed,True
config_6381,accurate,2027,Crashed,True
config_6382,accurate,373,Complete,False
config_6383,accurate,55,Crashed,True
config_6384,accurate,12,Crashed,True
config_6385,accurate,3038,Complete,False
config_6386,accurate,56,Crashed,True
config_6387,accurate,3114,Complete,False
config_6388,accurate,18,Crashed,True
config_6389,accurate,260,Crashed,True
config_639,accurate,30,Crashed,True
config_6390,accurate,147,Crashed,True
config_6391,accurate,220,Crashed,True
config_6392,accurate,10,Crashed,True
config_6393,accurate,59,Crashed,True
config_6394,accurate,2,Crashed,True
config_6395,accurate,46,Crashed,True
config_6396,accurate,8,Crashed,True
config_6397,accurate,4601,Complete,False
config_6398,accurate,1787,Complete,False
config_6308,accurate,978,Crashed,True
config_6309,accurate,2598,Crashed,True
config_631,accurate,280,Crashed,True
config_6310,accurate,1437,Complete,False
config_6311,accurate,62,Crashed,True
config_6312,accurate,6,Crashed,True
config_6313,accurate,1,Crashed,True
config_6314,accurate,1840,Crashed,True
config_6315,accurate,1703,Complete,False
config_6316,accurate,451,Crashed,True
config_6317,accurate,34,Crashed,True
config_6318,accurate,514,Crashed,True
config_6319,accurate,879,Crashed,True
config_632,accurate,1656,Crashed,True
config_6320,accurate,2,Crashed,True
config_6321,accurate,51,Crashed,True
config_6322,accurate,5720,Crashed,True
config_6323,accurate,1,Crashed,True
config_6324,accurate,3,Crashed,True
config_6325,accurate,22,Crashed,True
config_6272,accurate,470,Crashed,True
config_6273,accurate,50,Crashed,True
config_6274,accurate,1666,Crashed,True
config_6275,accurate,453,Crashed,True
config_6276,accurate,60,Crashed,True
config_6277,accurate,3,Crashed,True
config_6278,accurate,2550,Crashed,True
config_6279,accurate,54,Crashed,True
config_628,accurate,49,Crashed,True
config_6280,accurate,440,Crashed,True
config_6281,accurate,1768,Crashed,True
config_6282,accurate,1256,Crashed,True
config_6283,accurate,51,Crashed,True
config_6284,accurate,30,Crashed,True
config_6285,accurate,457,Crashed,True
config_6286,accurate,9337,Complete,False
config_6287,accurate,6602,Complete,False
config_6288,accurate,142,Crashed,True
config_6289,accurate,2,Crashed,True
config_629,accurate,250,Crashed,True
config_6218,accurate,59,Crashed,True
config_6219,accurate,63,Crashed,True
config_622,accurate,1,Crashed,True
config_6220,accurate,5675,Crashed,True
config_6221,accurate,444,Crashed,True
config_6222,accurate,477,Crashed,True
config_6223,accurate,14,Crashed,True
config_6224,accurate,263,Crashed,True
config_6225,accurate,897,Complete,False
config_6226,accurate,238,Crashed,True
config_6227,accurate,1,Crashed,True
config_6228,accurate,16,Crashed,True
config_6229,accurate,869,Crashed,True
config_623,accurate,2290,Complete,False
config_6230,accurate,2028,Complete,False
config_6231,accurate,1,Crashed,True
config_6232,accurate,9336,Complete,False
config_6233,accurate,70,Crashed,True
config_6234,accurate,9124,Complete,False
config_6235,accurate,1904,Crashed,True
config_6326,accurate,61,Crashed,True
config_6327,accurate,5598,Complete,False
config_6328,accurate,452,Crashed,True
config_6329,accurate,240,Crashed,True
config_633,accurate,7694,Complete,False
config_6330,accurate,1023,Crashed,True
config_6331,accurate,2291,Crashed,True
config_6332,accurate,238,Crashed,True
config_6333,accurate,1,Crashed,True
config_6334,accurate,335,Crashed,True
